# Tier-1 agent cards for the 'finance' domain. id	tier	model	capability
# Tier 2 is the full charter at the path in agents/registry.yaml — load only the one you pick.
billing-systems-designer	specialist	sonnet	Designs how money actually gets collected — the plumbing between the pricing…
burn-runway-analyst	specialist	sonnet	Knows exactly how much cash is going out, where, and how long…
cap-table-steward	specialist	sonnet	Keeps ownership accurate: every share, option, note, and the effect of the…
cost-optimization-analyst	specialist	sonnet	Finds money being wasted and proves the saving is real before anyone…
finance-head	head	opus	Owns the truth about money: unit economics, runway, pricing, and whether the…
financial-model-builder	specialist	sonnet	Builds and maintains the integrated financial model: the one file where every…
fundraising-strategist	specialist	sonnet	Plans the raise: how much, when, from whom, against what milestone, and…
investor-reporting-agent	specialist	sonnet	Produces investor updates that are accurate, consistent, and useful — including the…
pricing-strategist	specialist	opus	Decides what to charge, on what basis, and why the customer will…
revenue-forecaster	specialist	sonnet	Produces revenue forecasts that are honest about uncertainty and useful for decisions
scenario-stress-tester	specialist	sonnet	Breaks the financial plan on purpose to find out what actually kills…
tax-and-compliance-finance	specialist	sonnet	Tracks what the venture owes and files, where, and by when
unit-economics-architect	specialist	opus	Establishes whether a single unit of this business makes money, and how…
