# Tier-1 discovery index for the 'compliance' category. name	output	purpose
# Tier 2 is skills/<name>/SKILL.md — load only the skills you selected.
# Category anti-patterns: skills/antipatterns/compliance.md (load once at tier 2).
audit-readiness-review	Find the gaps before an auditor does.
consent-design	Design consent that is genuine rather than assumed.
control-framework-design	Build the controls that make compliance demonstrable.
data-subject-rights-process	Build a rights request process that actually works.
evidence-collection	Gather proof that controls actually operated.
metric-consistency-check	Verify a reported metric means the same thing it did last period.
minute-taking	Record decisions so the corporate record is accurate.
policy-authoring	Write a policy people can actually follow.
privacy-impact-assessment	Assess high-risk processing before it starts.
processor-due-diligence	Check a third party before sending them personal data.
resolution-drafting	Draft a resolution that is unambiguous and effective.
signature-authority-matrix	Make it unambiguous who may bind the company.
