# Tier-1 discovery index for the 'gtm' category. name	output	purpose
# Tier 2 is skills/<name>/SKILL.md — load only the skills you selected.
amplification-analysis	amplification-analysis.md	Determine whether a loop actually compounds.
audience-narrative-adaptation	narrative-variants.md	Tell the same story to customers, investors, and candidates without contradicting yourself.
beachhead-selection	beachhead.md	Choose the one segment to win first.
brand-consistency-audit	brand-audit.md	Find where the brand has drifted from its guidelines.
brand-voice-guidelines	voice-guidelines.md	Define how the company sounds, with examples.
campaign-brief	campaign-brief.md	Define a campaign tightly enough that it can be judged afterwards.
category-frame-selection	category-frame.md	Choose the mental category that sets customer expectations.
channel-cac-modeling	channel-cac.md	Compute what each channel actually costs per acquired customer.
channel-test-design	channel-test.md	Test a channel cheaply enough that failure is affordable.
churn-analysis	churn-analysis.md	Understand why customers leave, in categories you can act on.
co-marketing-planning	co-marketing-plan.md	Plan joint activity that both parties will actually resource.
content-calendar	content-calendar.md	Plan content that serves the funnel rather than filling a schedule.
cycle-time-optimisation	cycle-time-optimisation.md	Make the loop turn faster, not just convert better.
deal-structuring	deal-structure.md	Structure an agreement that is testable before it is binding.
discovery-call-script	discovery-script.md	Structure the first call to diagnose rather than pitch.
growth-loop-design	growth-loop.md	Design a mechanism where output feeds back into input so growth compounds.
gtm-planning	gtm-plan.md	Decide how the product reaches customers and in what order.
health-scoring	health-score-model.md	Predict which customers are at risk before they leave.
loop-instrumentation	loop-instrumentation.md	Measure a growth loop so optimisation is not guesswork.
message-hierarchy	message-hierarchy.md	Structure the message from headline claim to supporting proof.
message-testing	message-test.md	Find out whether a message works before paying to distribute it.
motion-selection	motion-decision.md	Choose between self-serve, product-led, sales-led, and partner-led.
narrative-writing	narrative.md	Write the story of why the company exists and why it matters.
objection-handling-library	objection-library.md	Build evidenced answers to the objections that actually lose deals.
onboarding-design	onboarding-design.md	Get a new customer to their first real value quickly.
origin-story-development	origin-story.md	Capture why the founders started this, credibly.
partner-qualification	partner-qualification.md	Decide whether a candidate partner is worth the effort.
partnership-review	partnership-review.md	Judge whether a partnership is producing and act on the answer.
partnership-thesis	partnership-thesis.md	State why a partnership would create value before pursuing one.
pipeline-model	pipeline-model.md	Model the pipeline so forecasts mean something.
positioning-statement	positioning.md	Decide what the product is in the customer's mind.
qualification-framework	qualification-framework.md	Decide quickly whether a deal is real.
reference-development	reference-assets.md	Turn successful customers into evidence others will believe.
referral-mechanics-design	referral-design.md	Design a referral that people actually want to make.
sales-playbook	sales-playbook.md	Write down how selling works so someone other than the founder can do it.
terminology-consistency-audit	terminology-audit.md	Make sure one concept has one name everywhere.
voice-of-customer-synthesis	voc-digest.md	Turn scattered customer feedback into something product can act on.
win-loss-analysis	win-loss-report.md	Find out why deals were actually won and lost.
