# Tier-1 agent cards for the 'council' domain. id	tier	model	capability
# Tier 2 is the full charter at the path in agents/registry.yaml — load only the one you pick.
council-assumption-auditor	council	opus	Finds every unstated assumption, makes it explicit, and rates how much of…
council-devils-advocate	council	opus	Argues the opposite of whatever the room believes, so consensus has to…
council-director	head	opus	Chairs the Council of ten critics
council-economics-skeptic	council	opus	Refuses to believe the numbers until they survive arithmetic, sensitivity, and comparison…
council-ethics-and-responsibility	council	opus	Asks who is harmed, who is excluded, and what this plan looks…
council-expansion-scout	council	opus	The Council's constructive half: hunts for what the plan is leaving on…
council-first-principles	council	opus	Strips a plan back to what is physically, economically, and logically necessary,…
council-legal-and-regulatory-critic	council	opus	Challenges the plan on what the law, regulators, and platform rules will…
council-red-team	council	opus	Attacks the plan the way a competitor, a bad actor, or an…
council-risk-and-failure-modes	council	opus	Runs the pre-mortem: it is twelve months later and the venture failed…
council-synthesis-arbiter	council	opus	Turns nine critics arguing into one decision-grade verdict: what blocks, what improves,…
