# Tier-1 discovery index for the 'strategy' category. name	output	purpose
# Tier 2 is skills/<name>/SKILL.md — load only the skills you selected.
# Category anti-patterns: skills/antipatterns/strategy.md (load once at tier 2).
bet-portfolio-sizing	Allocate effort across bets according to their expected value and risk.
board-update	Report to a board so they can help rather than merely be informed.
build-buy-partner-analysis	Decide whether to build a capability, buy it, or partner for it.
market-structure-analysis	Understand who captures value in this market and why.
moat-thesis	State the defensibility as a mechanism, not as a feature list.
narrative-one-pager	Compress the whole company onto one page a new person could absorb.
scenario-planning	Prepare for several plausible futures rather than forecasting one.
strategy-memo	State the strategy as a set of explicit choices.
technical-due-diligence	Keep the technical story ready for anyone who will examine it.
trend-signal-monitoring	Watch the small number of indicators that would change the strategy.
vendor-risk-review	Assess what a vendor dependency actually exposes us to.
