# Tier-1 agent cards for the 'hardware' domain. id	tier	model	capability
# Tier 2 is the full charter at the path in agents/registry.yaml — load only the one you pick.
cad-modeler	specialist	sonnet	Builds the 3D model that everything else depends on — parametric, tolerant…
compliance-emc-engineer	specialist	opus	Gets the product legally sellable: emissions, immunity, safety, and the certification paperwork…
dfm-engineer	specialist	opus	Makes sure the design can actually be made, repeatably, at the intended…
electronics-component-engineer	specialist	sonnet	Owns the bill of materials: what parts go in, whether they can…
embedded-firmware-engineer	specialist	sonnet	Writes the code that runs on the hardware, and owns the boundary…
enclosure-designer	specialist	sonnet	Designs the housing: how it splits, how it closes, how it keeps…
hardware-head	head	opus	Owns everything physical: the 3D product, the boards inside it, and whether…
hardware-test-engineer	specialist	sonnet	Proves the hardware works — on the bench, through the build phases,…
industrial-designer	specialist	sonnet	Decides what the physical product is: its form, how it is held…
mechanical-engineer	specialist	sonnet	Makes sure the physical thing holds together: loads, stresses, fits, fasteners, and…
pcb-layout-designer	specialist	sonnet	Turns the schematic into copper: stack-up, placement, routing, and the physical decisions…
pcb-schematic-designer	specialist	opus	Draws the circuit: what connects to what, why, and with what protection…
power-electronics-engineer	specialist	sonnet	Designs how the product gets, converts, and survives power — including the…
prototyping-fabrication-agent	specialist	sonnet	Gets physical parts made fast: which process, which supplier, what it will…
signal-integrity-engineer	specialist	sonnet	Makes sure the signals survive the board: impedance, reflections, crosstalk, timing, and…
thermal-engineer	specialist	sonnet	Keeps the electronics inside their temperature limits, in the real enclosure, in…
