# Tier-1 discovery index for the 'memory' category. name	output	purpose
# Tier 2 is skills/<name>/SKILL.md — load only the skills you selected.
contradiction-detection	contradiction-report.md	Catch conflicting claims across the knowledge graph as they arrive.
entity-resolution	entity-resolution-report.md	Make sure one real-world thing is one node in the knowledge graph.
graph-query-design	query-catalogue.md	Build the specific queries agents need rather than a generic search box.
knowledge-graph-modeling	graph-model.md	Design the entities and typed relationships that make cross-domain questions answerable.
link-provenance	edge-provenance-report.md	Ensure every graph edge points at the artifact that justifies it.
memory-conflict-resolution	conflict-resolution.md	Resolve two stored facts that cannot both be true.
memory-consolidation	consolidation-report.md	Promote scattered episodic events into durable semantic and procedural memory.
memory-decay-policy	decay-policy.md	Expire stale context deliberately, because trusted-but-wrong is worse than missing.
memory-retrieval-tuning	retrieval-quality-report.md	Make sure the right memory reaches the agent that needs it.
memory-write-standard	memory-record.json	Enforce the structure that makes a memory retrievable months later.
pattern-reuse-lookup	pattern-match.md	Find the prior decomposition, plan, or solution that matches this shape.
prior-error-lookup	prior-error-report.md	Check whether this organisation has already been wrong about this.
provenance-tracking	provenance-record.json	Keep every claim traceable to the evidence that produced it.
