# Tier-1 agent cards for the 'business' domain. id	tier	model	capability
# Tier 2 is the full charter at the path in agents/registry.yaml — load only the one you pick.
brand-narrative-agent	specialist	sonnet	Owns the story: why this company exists, why anyone should care, and…
business-head	head	opus	Owns the demand side: who the customer is, what problem is worth…
business-model-canvas-agent	specialist	opus	Maintains the business model as a single coherent picture, with evidence behind…
competitor-intel-analyst	specialist	sonnet	Knows the competitive field better than the competitors know themselves, including the…
customer-discovery-interviewer	specialist	sonnet	Talks to real people about their real problems without leading them, and…
customer-success-agent	specialist	sonnet	Owns what happens after the sale: onboarding, adoption, retention, and turning users…
growth-loop-designer	specialist	sonnet	Designs mechanisms where output feeds back into input, so growth compounds instead…
gtm-strategist	specialist	sonnet	Decides how the product reaches customers: motion, channels, sequence, and the tests…
icp-persona-builder	specialist	sonnet	Defines exactly who we sell to — specific enough to build a…
jtbd-analyst	specialist	sonnet	Frames the problem as the job the customer is hiring a solution…
market-researcher	specialist	sonnet	Establishes how big the opportunity is, who is in it, and which…
partnership-bd-agent	specialist	sonnet	Finds and structures partnerships that create real distribution or capability, and avoids…
positioning-messaging-agent	specialist	sonnet	Decides what the product is in the customer's mind, and writes the…
sales-playbook-agent	specialist	sonnet	Turns successful selling into a repeatable process that someone other than the…
value-proposition-designer	specialist	sonnet	Connects specific customer pains and gains to specific product capabilities, and refuses…
