# Tier-1 discovery index for the 'engineering' category. name	output	purpose
# Tier 2 is skills/<name>/SKILL.md — load only the skills you selected.
# Category anti-patterns: skills/antipatterns/engineering.md (load once at tier 2).
access-pattern-analysis	Establish how data will actually be read and written.
accessibility-review	Check the interface works for people who do not use it the default way.
alert-design	Alert only when a human must act.
api-design-review	Review an interface for consistency, evolvability, and misuse resistance.
api-versioning-policy	Decide how the interface changes without breaking clients.
architecture-decision-record	Record a technical decision with the alternatives and the trade-offs.
authz-design-review	Check that permission logic is correct and cannot be bypassed.
backfill-strategy	Populate new structures over existing data safely.
behaviour-preserving-refactor	Change structure without changing behaviour.
boundary-design	Decide where to split the system.
capacity-planning	Ensure capacity exists before demand arrives.
cicd-pipeline-design	Build a pipeline that makes shipping safe and boring.
code-health-metrics	Measure whether the codebase is getting easier or harder to change.
component-library-management	Keep the shared component set coherent as it grows.
dashboard-design	Build dashboards that answer a specific question.
data-model-design	Design the data structure around how it will actually be used.
dead-code-removal	Delete what is no longer used.
dependency-failure-analysis	Decide what happens when each external dependency fails.
deployment-safety-review	Check a deployment cannot cause irreversible harm.
disaster-recovery-testing	Prove you can actually recover, not just that you have backups.
distributed-tracing-setup	Follow a request across every service it touches.
error-taxonomy-design	Design errors that tell the caller what to do.
feature-flag-management	Use flags without creating a permanent maze.
flaky-test-elimination	Remove nondeterminism instead of tolerating it.
frontend-performance-budget	Set and defend limits on what the client has to load and do.
idempotency-design	Make retries safe.
incident-response-runbook	Prepare so an incident is executed rather than improvised.
infrastructure-as-code	Define infrastructure so it can be rebuilt exactly.
infrastructure-rightsizing	Match provisioned capacity to actual demand.
input-validation-review	Check that untrusted input cannot get through unchecked.
instrumentation-standard	Define how the system reports on itself.
load-testing	Find the system's real limits under realistic conditions.
migration-planning	Change a live schema without losing data or availability.
openapi-specification	Specify the interface formally so clients and tests can be generated.
performance-budgeting	Set limits on the performance of critical journeys.
performance-regression-gating	Stop performance regressions from reaching production.
post-release-review	Learn from every release, not just the bad ones.
profiling-analysis	Find where time and resources actually go.
progressive-rollout-design	Expose a change gradually so problems are found by few, not by all.
refactoring-planning	Plan a refactor that pays off soon.
release-quality-reporting	Report quality as a signal with known limits.
release-readiness-review	Decide honestly whether this can ship.
rollback-verification	Prove the way back works before you need it.
scalability-stress-review	Find where the architecture breaks before the market finds it.
secrets-management	Keep credentials out of reach and rotatable.
security-review	Review a change for security consequences before it ships.
security-test-design	Test that the security controls actually work.
service-implementation	Build the server-side behaviour to match the contract exactly.
slo-definition	Define reliability targets from what users actually notice.
state-handling-review	Check the interface handles every state a user can encounter.
structured-logging	Log so that questions can be answered later.
system-diagramming	Draw the system so a newcomer can understand it.
tech-debt-registry	Record debt with its actual cost.
test-data-management	Make test data predictable and safe.
test-pyramid-balancing	Keep the suite fast and meaningful.
test-strategy	Decide what to test, at what level, and why.
threat-modeling	Work out how a system could be attacked, before building it.
transaction-design	Decide the consistency guarantee each operation actually offers.
ui-implementation	Build the interface to the acceptance criteria, including the hard states.
vendor-security-review	Assess a third party before trusting them with data or access.
vulnerability-triage	Decide which vulnerabilities matter here.
