# Tier-1 agent cards for the 'orchestration' domain. id	tier	model	capability
# Tier 2 is the full charter at the path in agents/registry.yaml — load only the one you pick.
context-memory-curator	specialist	sonnet	Owns the memory itself: what gets remembered, in what form, for how…
dependency-scheduler	specialist	sonnet	Orders the work: dependencies, critical path, budgets, and what runs when
escalation-manager	specialist	sonnet	Decides what goes up, to whom, and how fast — so real…
evaluation-harness-agent	specialist	sonnet	Measures whether agents and skills actually work, using repeatable tests rather than…
handoff-coordinator	specialist	haiku	Makes sure work passed between agents arrives complete, so the receiver never…
intake-router	specialist	sonnet	The front door
knowledge-graph-librarian	specialist	sonnet	Maintains the entity graph — customers, competitors, features, decisions, risks — and…
orchestration-head	head	opus	Owns how the organisation runs itself: routing, decomposition, scheduling, handoffs, and the…
planning-decomposer	specialist	sonnet	Breaks big intent into tasks small enough for one agent to finish…
progress-tracker	specialist	haiku	Knows the true state of every task and reports it without optimism
retrospective-agent	specialist	sonnet	Extracts the lesson from every cycle and makes sure it changes behaviour…
