# Tier-1 agent cards for the 'engineering' domain. id	tier	model	capability
# Tier 2 is the full charter at the path in agents/registry.yaml — load only the one you pick.
api-designer	specialist	sonnet	Designs interfaces that are consistent, evolvable, and hard to misuse
backend-implementation-agent	specialist	sonnet	Builds the server side: correct behaviour, safe data handling, and predictable failure
data-model-designer	specialist	sonnet	Designs how data is structured, related, and allowed to change over time
engineering-head	head	opus	Owns what actually gets built: architecture, the MVP scope line, delivery, quality,…
frontend-implementation-agent	specialist	sonnet	Builds the interface: correct, accessible, fast, and consistent with the design system
infra-devops-agent	specialist	sonnet	Owns the environments, the pipeline, and the cost and reliability of running…
mvp-scoper	specialist	opus	Draws the line between what ships now and what waits, using learning…
observability-agent	specialist	sonnet	Makes the system explain itself: metrics, logs, traces, and alerts that lead…
performance-engineer	specialist	sonnet	Makes the system fast enough where it matters and proves it with…
product-requirements-agent	specialist	sonnet	Turns validated customer problems into requirements an engineer can build and a…
qa-test-strategist	specialist	sonnet	Decides what gets tested, how, and what quality signal the team can…
release-manager	specialist	sonnet	Gets changes to users safely and predictably, and back out again when…
security-engineer	specialist	opus	Builds security into the system: threat models, secure defaults, and verification that…
system-architect	specialist	opus	Designs the system: components, boundaries, data flow, and the trade-offs chosen deliberately
tech-debt-refactor-agent	specialist	sonnet	Keeps the codebase changeable: tracks debt honestly and pays it down where…
