# Tier-1 agent cards for the 'design' domain. id	tier	model	capability
# Tier 2 is the full charter at the path in agents/registry.yaml — load only the one you pick.
accessibility-designer	specialist	sonnet	Makes sure the product works for people who do not use it…
brand-identity-designer	specialist	sonnet	Owns how the company looks and sounds visually — the identity system,…
content-designer	specialist	sonnet	Writes the words in the product — the ones that do the…
data-visualization-designer	specialist	sonnet	Designs charts and dashboards that answer a question honestly, rather than decorating…
design-critic	specialist	opus	Runs structured critique so design decisions are argued on evidence rather than…
design-head	head	opus	Owns what the product feels like to use: research, structure, interaction, craft,…
design-researcher	specialist	sonnet	Finds out how people actually behave before anyone draws a screen, and…
design-system-architect	specialist	sonnet	Owns the shared vocabulary of the interface: tokens, components, and the rules…
information-architect	specialist	sonnet	Decides how the product's content and functions are organised, named, and found
interaction-designer	specialist	sonnet	Designs how the product behaves: the flows, states, feedback, and what happens…
motion-designer	specialist	sonnet	Uses movement to explain what changed and where things went — and…
prototyper	specialist	sonnet	Builds the cheapest artifact that answers the question, and throws it away…
service-designer	specialist	sonnet	Designs the whole experience, including the parts that are not a screen:…
usability-tester	specialist	sonnet	Watches real people try to use the thing and reports what broke,…
visual-designer	specialist	sonnet	Makes the interface legible, hierarchical, and coherent — and keeps taste subordinate…
