# Tier-1 agent cards for the 'improvement' domain. id	tier	model	capability
# Tier 2 is the full charter at the path in agents/registry.yaml — load only the one you pick.
ab-test-runner	specialist	sonnet	Runs the trials that compare a proposed change against the current behaviour,…
agent-performance-analyst	specialist	opus	Measures how well each agent actually performs, separates capability problems from context…
benchmark-curator	specialist	sonnet	Owns the case set the whole organisation is measured against, and keeps…
capability-gap-scout	specialist	sonnet	Finds what the organisation cannot currently do — the tasks nobody owns…
eval-designer	specialist	sonnet	Builds the measurements that decide whether anything actually improved, and makes sure…
failure-miner	specialist	sonnet	Digs through everything that went wrong — incidents, rejected handoffs, Council blockers,…
improvement-head	head	opus	Owns the loop that makes the organisation better at its job over…
knowledge-distiller	specialist	sonnet	Turns what the organisation learned into instructions the next run will actually…
model-router-tuner	specialist	sonnet	Decides which model tier each agent runs on, and moves work down…
prompt-optimizer	specialist	opus	Improves agent and skill instructions through measured trials rather than intuition, and…
skill-refiner	specialist	sonnet	Keeps the skill library sharp: merges what has blurred, splits what has…
token-efficiency-analyst	specialist	sonnet	Finds where the organisation spends tokens without buying quality, and cuts it…
workflow-optimizer	specialist	sonnet	Improves the workflows themselves: removes steps that add no evidence, parallelises what…
