# Tier-1 discovery index for the 'improvement' category. name	output	purpose
# Tier 2 is skills/<name>/SKILL.md — load only the skills you selected.
adoption-threshold-setting	adoption-threshold.md	Decide in advance what would justify adopting the change.
behaviour-change-verification	verification-record.md	Check the instruction actually changed what agents do.
capability-mapping	capability-map.md	Know what the organisation can and cannot currently do.
capability-target-setting	capability-targets.md	Set improvement targets that can be judged.
case-provenance-recording	case-provenance.md	Record where each case came from and why its answer is right.
case-retirement	retirement-log.md	Remove cases that no longer teach anything.
change-reversion	reversion-record.md	Undo a change that did not hold.
constraint-over-explanation	rule-text.md	Write rules agents follow rather than rationale they interpret.
contamination-auditing	contamination-audit.md	Check the measurement set has not leaked into development.
coverage-mapping	coverage-map.md	Know what the evaluation does and does not cover.
discrimination-analysis	discrimination-report.md	Check the evaluation actually separates good from bad.
duplicate-review-elimination	review-map.md	Remove reviews that check the same thing twice.
early-stopping-discipline	trial-log.md	Do not stop the trial when it starts looking good.
effect-size-reporting	effect-report.md	Report how much better, not just whether better.
evaluation-revalidation	revalidation-record.md	Re-check the evaluation when the job changes.
fail-fast-resequencing	resequencing.md	Move the cheap disconfirming step earlier.
failure-attribution	attribution-report.md	Determine whether a failure was capability, context, or task definition — because the fixes are different.
failure-corpus-mining	failure-corpus.md	Gather everything that went wrong into one place worth analysing.
failure-cost-estimation	failure-costs.md	Put a number on what each failure pattern costs.
fix-effect-measurement	fix-effect.md	Measure whether the fix actually helped.
gap-evidence-collection	gap-evidence.md	Prove the gap is real before proposing to fill it.
golden-case-extraction	golden-case.md	Turn a real failure into a test that stops it recurring.
held-out-set-construction	held-out-set.md	Build a measurement set that stays honest.
held-out-trial-design	trial-design.md	Design the trial so its result means something.
improvement-backlog-ranking	improvement-backlog.md	Decide what to improve next.
improvement-cycle-facilitation	cycle-report.md	Run the loop that makes the organisation better.
improvement-queue-ranking	improvement-queue.md	Rank candidate fixes by what they are actually worth.
improvement-return-analysis	return-analysis.md	Judge whether the improvement effort was worth it.
instruction-placement	placement-record.md	Put the instruction where it will actually be read.
instruction-pruning	pruning-record.md	Remove instructions that no longer earn their tokens.
inter-rater-calibration	calibration-report.md	Get different scorers to agree.
learning-strategy	learning-strategy.md	Decide what the organisation must get better at, and ignore the rest.
lesson-distillation	distilled-lesson.md	Compress a lesson into the shortest instruction that prevents the failure.
library-overlap-analysis	overlap-report.md	Find skills that have blurred into each other, and gaps between them.
minimal-intervention-selection	intervention-proposal.md	Choose the smallest change that closes the gap.
negative-result-reporting	negative-results.md	Report what did not work, as prominently as what did.
new-agent-justification	agent-proposal.md	Justify a new agent by the accountability nobody currently holds.
optimisation-drift-detection	drift-report.md	Catch the system getting better at its metrics while getting worse at its job.
performance-trend-analysis	trend-report.md	Distinguish a real trend from noise before acting on it.
prompt-change-logging	prompt-change-log.md	Keep the history of what changed and what it bought.
prompt-variant-generation	variants.md	Produce candidate instruction changes worth testing.
regression-sweep	regression-sweep.md	Check the change did not break something else.
root-cause-clustering	cluster-report.md	Group failures by what actually caused them.
rubric-design	rubric.md	Build a scoring scheme different reviewers apply the same way.
sample-sizing	sample-plan.md	Work out how many cases the trial needs.
self-modification-policy	self-modification-policy.md	Define what the system may change about itself without human approval.
skill-deprecation	deprecation-record.md	Retire a skill without breaking the agents that name it.
skill-step-revision	step-revision.md	Fix the specific step that let the failure through.
skill-usage-telemetry	usage-report.md	Find out which skills are actually used.
sprawl-resistance	non-proposal.md	Recommend against filling a gap when that is the right answer.
step-concreteness-review	concreteness-review.md	Check every step can actually be followed.
step-value-analysis	step-value.md	Find workflow steps that change no outcome.
systemic-cause-identification	systemic-causes.md	Find the cause that produces many different failures.
trial-execution	trial-results.md	Run the comparison cleanly.
workflow-change-measurement	workflow-change.md	Prove the workflow change helped.
