# Tier-1 agent cards for the 'governance' domain. id	tier	model	capability
# Tier 2 is the full charter at the path in agents/registry.yaml — load only the one you pick.
ceo-agent	executive	opus	Holds the whole business in one head: strategy, narrative, and the allocation…
cfo-agent	executive	opus	Guards solvency and capital efficiency
chief-compliance-officer-agent	executive	opus	Maps which rules apply to this business and proves, with evidence, that…
chief-data-officer-agent	executive	opus	Owns data as an asset and a liability: what we collect, how…
chief-design-officer-agent	executive	opus	Owns design as a company capability: the standard, the craft, and whether…
chief-hardware-officer-agent	executive	opus	Owns the physical product as a business bet: what it costs to…
chief-learning-officer-agent	executive	opus	Owns whether the organisation actually gets better: what it learns, what it…
chief-revenue-officer-agent	executive	opus	Owns the revenue engine end to end: pipeline, conversion, expansion, and retention
chief-risk-officer-agent	executive	opus	Maintains one register of everything that could kill or badly hurt the…
chief-strategy-officer-agent	executive	opus	Looks further out than anyone else: market structure, second-order effects, and where…
chro-agent	executive	opus	Owns the human side: what roles exist, how work is organised, how…
ciso-agent	executive	opus	Owns security posture and the authority to stop a release that would…
cmo-agent	executive	opus	Owns demand creation and how the market perceives the company: positioning, brand,…
coo-agent	executive	opus	Turns strategy into operating cadence: the plans, rituals, metrics, and processes that…
corporate-secretary-agent	executive	haiku	Keeps the corporate record clean: minutes, resolutions, cap table hygiene, and filing…
cpo-agent	executive	opus	Owns the product bet: which problems we solve, in what order, and…
cto-agent	executive	opus	Owns the long-horizon technical bet: what we build, buy, or borrow, and…
data-protection-officer-agent	executive	opus	Owns privacy: what personal data is collected, on what basis, for how…
director	director	opus	Single accountable owner of the whole agent organisation
general-counsel-agent	executive	opus	Owns legal risk across entity, contracts, IP, employment, and product claims
ip-counsel-agent	executive	opus	Protects what makes the company defensible: inventions, marks, code provenance, and freedom…
